"value","timestamp"
-11446.3,"2009-10-10 17:12:24.905000000"
-11238.3,"2009-10-10 17:12:40.904000000"
-11042.2,"2009-10-10 17:12:56.904000000"
-10855,"2009-10-10 17:13:12.904000000"
-10679.7,"2009-10-10 17:13:28.904000000"
-10525.1,"2009-10-10 17:13:44.905000000"
-10373.6,"2009-10-10 17:14:00.904000000"
-10254.7,"2009-10-10 17:14:16.904000000"
-10115.1,"2009-10-10 17:14:32.904000000"
-10031.9,"2009-10-10 17:14:48.904000000"
-9942.73,"2009-10-10 17:15:04.905000000"
-9915.99,"2009-10-10 17:15:20.904000000"
-9865.47,"2009-10-10 17:15:36.904000000"
-9862.5,"2009-10-10 17:15:52.904000000"
-9895.19,"2009-10-10 17:16:08.904000000"
-9913.01,"2009-10-10 17:16:24.905000000"
-10005.1,"2009-10-10 17:16:40.904000000"
-10121,"2009-10-10 17:16:56.904000000"
-10263.7,"2009-10-10 17:17:12.904000000"
-10471.7,"2009-10-10 17:17:28.904000000"
-10685.6,"2009-10-10 17:17:44.905000000"
-10967.9,"2009-10-10 17:18:00.904000000"
-11268,"2009-10-10 17:18:16.904000000"
-11606.8,"2009-10-10 17:18:32.904000000"
-11969.3,"2009-10-10 17:18:48.904000000"
-12400.2,"2009-10-10 17:19:04.905000000"
-12851.9,"2009-10-10 17:19:20.904000000"
-13339.2,"2009-10-10 17:19:36.904000000"
-13868.1,"2009-10-10 17:19:52.904000000"
-14414.9,"2009-10-10 17:20:08.904000000"
-15024,"2009-10-10 17:20:24.905000000"
-15621.3,"2009-10-10 17:20:40.904000000"
-16257.2,"2009-10-10 17:20:56.904000000"
-16902,"2009-10-10 17:21:12.904000000"
-17573.6,"2009-10-10 17:21:28.904000000"
-18254.1,"2009-10-10 17:21:44.905000000"
-18952.4,"2009-10-10 17:22:00.904000000"
-19665.6,"2009-10-10 17:22:16.904000000"
-20375.8,"2009-10-10 17:22:32.904000000"
-21074.1,"2009-10-10 17:22:48.904000000"
-21766.4,"2009-10-10 17:23:04.905000000"
-22446.9,"2009-10-10 17:23:20.904000000"
-23106.6,"2009-10-10 17:23:36.904000000"
-23745.5,"2009-10-10 17:23:52.904000000"
-24363.6,"2009-10-10 17:24:08.904000000"
-24984.6,"2009-10-10 17:24:24.905000000"
-25558.1,"2009-10-10 17:24:40.904000000"
-26098.9,"2009-10-10 17:24:56.904000000"
-26621.9,"2009-10-10 17:25:12.904000000"
-27115.2,"2009-10-10 17:25:28.904000000"
-27557.9,"2009-10-10 17:25:44.905000000"
-27988.8,"2009-10-10 17:26:00.904000000"
-28357.3,"2009-10-10 17:26:16.904000000"
-28684.2,"2009-10-10 17:26:32.904000000"
-28957.5,"2009-10-10 17:26:48.904000000"
-29189.3,"2009-10-10 17:27:04.905000000"
-29391.4,"2009-10-10 17:27:20.904000000"
-29548.9,"2009-10-10 17:27:36.904000000"
-29667.7,"2009-10-10 17:27:52.904000000"
-29736.1,"2009-10-10 17:28:08.904000000"
-29742,"2009-10-10 17:28:24.905000000"
-29748,"2009-10-10 17:28:40.904000000"
-29682.6,"2009-10-10 17:28:56.904000000"
-29590.5,"2009-10-10 17:29:12.904000000"
-29444.9,"2009-10-10 17:29:28.904000000"
-29281.4,"2009-10-10 17:29:44.905000000"
-29079.4,"2009-10-10 17:30:00.904000000"
-28847.6,"2009-10-10 17:30:16.904000000"
-28592,"2009-10-10 17:30:32.904000000"
-28294.9,"2009-10-10 17:30:48.904000000"
-27979.9,"2009-10-10 17:31:04.905000000"
-27632.2,"2009-10-10 17:31:20.904000000"
-27269.7,"2009-10-10 17:31:36.904000000"
-26877.5,"2009-10-10 17:31:52.904000000"
-26467.4,"2009-10-10 17:32:08.904000000"
-26054.3,"2009-10-10 17:32:24.905000000"
-25635.4,"2009-10-10 17:32:40.904000000"
-25159.9,"2009-10-10 17:32:56.904000000"
-24720.1,"2009-10-10 17:33:12.904000000"
-24238.7,"2009-10-10 17:33:28.904000000"
-23796,"2009-10-10 17:33:44.905000000"
-23299.7,"2009-10-10 17:34:00.904000000"
-22830.2,"2009-10-10 17:34:16.904000000"
-22334,"2009-10-10 17:34:32.904000000"
-21858.6,"2009-10-10 17:34:48.904000000"
-21371.2,"2009-10-10 17:35:04.905000000"
-20872,"2009-10-10 17:35:20.904000000"
-20372.8,"2009-10-10 17:35:36.904000000"
-19882.5,"2009-10-10 17:35:52.904000000"
-19386.2,"2009-10-10 17:36:08.904000000"
-18907.8,"2009-10-10 17:36:24.905000000"
-18420.5,"2009-10-10 17:36:40.904000000"
-17951,"2009-10-10 17:36:56.904000000"
-17478.5,"2009-10-10 17:37:12.904000000"
-16997.1,"2009-10-10 17:37:28.904000000"
-16539.5,"2009-10-10 17:37:44.905000000"
-16105.7,"2009-10-10 17:38:00.904000000"
-15645.1,"2009-10-10 17:38:16.904000000"
-15190.4,"2009-10-10 17:38:32.904000000"
-14738.8,"2009-10-10 17:38:48.904000000"
-14296,"2009-10-10 17:39:04.905000000"
-13862.2,"2009-10-10 17:39:20.904000000"
